District,School,Subject,Scored,County,Year,Baseline,Score
DANVILLE AREA SD,DANVILLE AREA SHS,English,142,Montour,2017,Advanced,25.4
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,40,Columbia,2017,Proficient,40
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,39,Columbia,2017,Proficient,41
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,40,Columbia,2017,Proficient,70
BERWICK AREA SD,BERWICK AREA HS,Math,157,Columbia,2017,Proficient,47.1
BERWICK AREA SD,BERWICK AREA HS,Science,156,Columbia,2017,Proficient,39.1
BERWICK AREA SD,BERWICK AREA HS,English,155,Columbia,2017,Proficient,73.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,109,Columbia,2017,Proficient,64.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,109,Columbia,2017,Proficient,44
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,110,Columbia,2017,Proficient,77.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,122,Columbia,2017,Proficient,59.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,125,Columbia,2017,Proficient,44
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,125,Columbia,2017,Proficient,76.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,152,Columbia,2017,Proficient,42.1
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,152,Columbia,2017,Proficient,26.3
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,152,Columbia,2017,Proficient,52.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,45,Columbia,2017,Proficient,37.8
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,45,Columbia,2017,Proficient,48.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,45,Columbia,2017,Proficient,64.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,93,Columbia,2017,Proficient,75.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,93,Columbia,2017,Proficient,48.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,93,Columbia,2017,Proficient,83.9
