Subject,Scored,Year,Top,Baseline,Score,WScore,District,School,County,SchoolNum
English,441,2016,70.7,Top,70.7,31179,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Math,443,2016,41.9,Top,41.9,18562,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Science,118,2016,74.5,Top,74.5,8791,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
English,564,2016,70.6,Top,70.6,39819,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Math,568,2016,43,Top,43,24424,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Science,185,2016,66.5,Top,66.5,12303,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
English,503,2016,72,Top,72,36216,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
Math,506,2016,61,Top,61,30866,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
Science,171,2016,83.1,Top,83.1,14211,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
English,206,2016,75.3,Advanced,20.4,4203,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Math,206,2016,50.5,Advanced,28.2,5810,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Science,56,2016,100,Advanced,69.6,3898,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
English,111,2016,65.7,Advanced,16.2,1799,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Math,111,2016,23.400000000000002,Advanced,6.3,700,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Science,61,2016,77,Advanced,34.4,2099,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
English,664,2016,55.6,Advanced,15.4,10226,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Math,663,2016,34.8,Advanced,8,5304,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Science,203,2016,58.1,Advanced,24.6,4994,BERWICK AREA SD,BERWICK AREA MS,1,000006808
English,90,2016,67.7,Advanced,23.3,2097,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Math,90,2016,64.4,Advanced,34.4,3096,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Science,36,2016,88.9,Advanced,41.7,1502,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
English,113,2016,68.10000000000001,Advanced,15.9,1797,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Math,113,2016,70.80000000000001,Advanced,38.1,4306,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Science,40,2016,85,Advanced,47.5,1900,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
English,206,2016,58.2,Advanced,12.1,2493,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Math,205,2016,52.7,Advanced,20,4100,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Science,63,2016,85.7,Advanced,38.1,2401,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
English,220,2016,62.7,Advanced,16.8,3696,BERWICK AREA SD,SALEM EL SCH,1,000001597
Math,220,2016,70,Advanced,38.6,8492,BERWICK AREA SD,SALEM EL SCH,1,000001597
Science,74,2016,85.1,Advanced,45.9,3397,BERWICK AREA SD,SALEM EL SCH,1,000001597
English,57,2016,78.9,Advanced,36.8,2098,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Math,57,2016,73.7,Advanced,43.9,2503,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Science,16,2016,93.8,Advanced,56.3,901,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
English,384,2016,65.2,Advanced,20.1,7719,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Math,384,2016,41.7,Advanced,10.2,3917,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Science,112,2016,72.4,Advanced,31.3,3506,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
English,194,2016,72.2,Advanced,16,3104,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Math,193,2016,53.900000000000006,Advanced,23.3,4497,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Science,67,2016,80.6,Advanced,35.8,2399,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
English,110,2016,67.3,Advanced,15.5,1705,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
