Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
Math,3,125420,2016,,,State,Advanced,26.3,32986
Math,4,123940,2016,,,State,Advanced,19.8,24541
Math,5,122983,2016,,,State,Advanced,18.5,22752
Math,6,125305,2016,,,State,Advanced,16.9,21177
Math,7,124959,2016,,,State,Advanced,13.3,16620
Math,8,123175,2016,,,State,Advanced,10.5,12934
Science,4,123818,2016,,,State,Advanced,39.5,48909
Science,8,122955,2016,,,State,Advanced,27.3,33567
English,3,48,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,12.5,6
English,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,32.1,18
English,5,42,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,23.8,10
English,6,59,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,13.6,9
English,7,1,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,NA,NA
Math,3,48,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,47.9,23
Math,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,25,14
Math,5,42,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,38.1,17
Math,6,59,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,8.5,6
Math,7,1,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,NA,NA
Science,4,56,2016,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,69.6,39
English,7,50,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,12,6
English,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,19.7,13
Math,7,50,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,6,3
Math,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,6.6,5
Science,8,61,2016,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,34.4,21
English,6,215,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,20.9,45
English,7,244,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,13.1,32
English,8,205,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,12.2,26
Math,6,216,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,10.2,23
Math,7,244,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,8.2,21
Math,8,203,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,5.4,11
Science,8,203,2016,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,24.6,50
English,3,28,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,25,7
English,4,35,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,28.6,11
English,5,26,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,15.4,5
English,6,1,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,NA,NA
Math,3,28,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,46.4,13
Math,4,36,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,25,9
Math,5,26,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,34.6,9
Science,4,36,2016,BERWICK AREA SD,FOURTEENTH STREET EL,Columbia,Advanced,41.7,16
English,3,36,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,13.9,6
English,4,40,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,27.5,11
English,5,37,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,5.4,2
Math,3,36,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,33.3,12
Math,4,40,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,35,14
Math,5,37,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,45.9,17
Science,4,40,2016,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,47.5,19
English,3,75,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,16,12
English,4,63,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,14.3,10
English,5,68,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,5.9,5
Math,3,74,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,35.1,26
Math,4,63,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,12.7,9
Math,5,68,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,10.3,8
Science,4,63,2016,BERWICK AREA SD,ORANGE STREET EL SCH,Columbia,Advanced,38.1,25
English,3,70,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,11.4,8
English,4,74,2016,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,20.3,16
