SchoolNum,District,School,Subject,Grade,Scored,County,Year,Baseline,Score
000003424,DANVILLE AREA SD,DANVILLE AREA MS,English,7,194,Montour,2016,Advanced,27.3
000003424,DANVILLE AREA SD,DANVILLE AREA MS,English,8,184,Montour,2016,Advanced,22.8
000003424,DANVILLE AREA SD,DANVILLE AREA MS,English,School Total,564,Montour,2016,Advanced,25.7
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Math,6,187,Montour,2016,Advanced,23.5
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Math,7,195,Montour,2016,Advanced,14.9
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Math,8,186,Montour,2016,Advanced,10.8
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Math,School Total,568,Montour,2016,Advanced,16.4
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Science,8,185,Montour,2016,Advanced,37.3
000003424,DANVILLE AREA SD,DANVILLE AREA MS,Science,School Total,185,Montour,2016,Advanced,37.3
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,English,3,165,Montour,2016,Advanced,20.6
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,English,4,170,Montour,2016,Advanced,31.8
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,English,5,168,Montour,2016,Advanced,19.6
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,English,School Total,503,Montour,2016,Advanced,24.1
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Math,3,166,Montour,2016,Advanced,30.1
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Math,4,172,Montour,2016,Advanced,25
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Math,5,168,Montour,2016,Advanced,33.3
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Math,School Total,506,Montour,2016,Advanced,29.4
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Science,4,171,Montour,2016,Advanced,39.2
000004833,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Science,School Total,171,Montour,2016,Advanced,39.2
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,3,48,Columbia,2016,Proficient,62.5
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,4,56,Columbia,2016,Proficient,42.9
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,5,42,Columbia,2016,Proficient,61.9
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,6,59,Columbia,2016,Proficient,55.9
000001594,BENTON AREA SD,APPLEMAN EL SCH,English,School Total,206,Columbia,2016,Proficient,54.9
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,3,48,Columbia,2016,Proficient,16.7
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,4,56,Columbia,2016,Proficient,21.4
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,5,42,Columbia,2016,Proficient,26.2
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,6,59,Columbia,2016,Proficient,25.4
000001594,BENTON AREA SD,APPLEMAN EL SCH,Math,School Total,206,Columbia,2016,Proficient,22.3
000001594,BENTON AREA SD,APPLEMAN EL SCH,Science,4,56,Columbia,2016,Proficient,30.4
000001594,BENTON AREA SD,APPLEMAN EL SCH,Science,School Total,56,Columbia,2016,Proficient,30.4
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,7,50,Columbia,2016,Proficient,48
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,8,61,Columbia,2016,Proficient,50.8
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,School Total,111,Columbia,2016,Proficient,49.5
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,7,50,Columbia,2016,Proficient,18
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,8,61,Columbia,2016,Proficient,16.4
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,School Total,111,Columbia,2016,Proficient,17.1
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,8,61,Columbia,2016,Proficient,42.6
000001595,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,School Total,61,Columbia,2016,Proficient,42.6
000006808,BERWICK AREA SD,BERWICK AREA MS,English,6,215,Columbia,2016,Proficient,38.1
000006808,BERWICK AREA SD,BERWICK AREA MS,English,7,244,Columbia,2016,Proficient,43
000006808,BERWICK AREA SD,BERWICK AREA MS,English,8,205,Columbia,2016,Proficient,39
000006808,BERWICK AREA SD,BERWICK AREA MS,English,School Total,664,Columbia,2016,Proficient,40.2
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,6,216,Columbia,2016,Proficient,28.7
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,7,244,Columbia,2016,Proficient,27.5
000006808,BERWICK AREA SD,BERWICK AREA MS,Math,8,203,Columbia,2016,Proficient,24.1
